"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jun-2024","EQ","190.00","201.00","189.56","188.61","198.00","198.49","196.81","207.20","72.55","11,22,74,897","22,09,70,56,629.96","5,58,321"
"18-Jun-2024","EQ","187.50","189.10","184.80","186.24","188.85","188.61","187.37","207.20","72.55","4,06,33,379","7,61,32,94,938.45","2,31,535"
"14-Jun-2024","EQ","185.70","186.60","184.05","184.94","186.19","186.24","185.75","207.20","72.55","2,98,23,712","5,53,97,10,263.28","3,23,579"
"13-Jun-2024","EQ","183.80","185.80","180.15","179.65","185.09","184.94","183.69","207.20","72.55","4,78,91,484","8,79,71,33,900.32","2,06,144"
"12-Jun-2024","EQ","184.39","184.88","179.33","184.02","180.00","179.65","181.01","207.20","72.55","4,28,30,411","7,75,26,03,236.39","2,21,709"
"11-Jun-2024","EQ","182.60","186.00","180.10","182.16","183.90","184.02","183.36","207.20","72.55","4,18,03,815","7,66,50,83,489.69","2,13,388"
"10-Jun-2024","EQ","184.00","186.50","181.56","184.00","182.00","182.16","183.03","207.20","72.55","3,31,63,473","6,07,00,63,924.63","1,92,800"
"07-Jun-2024","EQ","182.50","187.00","180.70","183.65","183.10","184.00","184.91","207.20","69.60","3,31,75,407","6,13,43,68,356.70","1,50,111"
"06-Jun-2024","EQ","185.00","185.80","182.50","183.80","183.10","183.65","184.37","207.20","69.60","2,08,87,553","3,85,10,97,193.05","1,41,222"
"05-Jun-2024","EQ","175.00","185.30","166.75","172.00","183.90","183.80","180.66","207.20","69.60","5,72,13,537","10,33,61,92,896.70","3,15,554"
"04-Jun-2024","EQ","176.50","176.50","146.30","175.45","170.50","172.00","168.43","207.20","69.60","7,52,72,859","12,67,84,64,179.75","5,72,365"
"03-Jun-2024","EQ","184.50","185.50","175.00","179.15","175.45","175.45","176.94","207.20","69.60","5,34,37,123","9,45,52,11,608.75","3,51,780"
"31-May-2024","EQ","178.80","183.15","171.25","180.60","179.50","179.15","177.49","207.20","66.30","14,92,83,415","26,49,61,67,993.60","4,56,285"
"30-May-2024","EQ","183.00","185.00","179.00","183.35","181.00","180.60","181.47","207.20","66.30","3,36,84,173","6,11,25,06,971.15","1,89,332"
"29-May-2024","EQ","180.55","185.40","180.00","181.60","183.45","183.35","183.43","207.20","66.30","3,08,88,209","5,66,57,80,517.85","2,48,641"
"28-May-2024","EQ","184.35","184.80","180.40","183.65","180.90","181.60","182.23","207.20","66.30","3,44,44,521","6,27,67,13,084.55","1,59,815"
"27-May-2024","EQ","183.90","185.45","178.40","182.90","184.10","183.65","182.50","207.20","66.30","4,76,52,253","8,69,64,71,573.65","3,57,300"
"24-May-2024","EQ","188.00","188.00","179.10","186.80","182.50","182.90","183.94","207.20","61.80","3,70,64,093","6,81,74,87,250.10","3,00,765"
"23-May-2024","EQ","186.50","189.40","184.50","185.50","187.30","186.80","186.93","207.20","61.80","2,09,31,137","3,91,27,45,280.55","2,47,731"
"22-May-2024","EQ","190.00","190.00","183.35","189.10","185.60","185.50","185.44","207.20","61.80","4,03,74,419","7,48,70,62,421.45","3,31,491"
"21-May-2024","EQ","194.40","196.50","188.75","194.40","189.10","189.10","191.18","207.20","61.80","3,34,53,174","6,39,54,99,560.75","5,15,943"
"18-May-2024","EQ","194.75","195.70","194.10","194.85","194.50","194.40","194.76","207.20","61.80","25,48,204","49,62,92,477.30","20,507"
"17-May-2024","EQ","195.15","196.00","193.10","195.20","194.90","194.85","194.57","207.20","61.80","2,08,41,351","4,05,50,55,008.45","1,36,475"
"16-May-2024","EQ","192.90","195.85","189.00","192.00","194.40","195.20","193.89","207.20","61.80","3,54,78,593","6,87,89,46,191.80","2,09,064"
"15-May-2024","EQ","188.80","193.40","183.15","187.30","191.30","192.00","189.94","207.20","61.80","4,47,72,997","8,50,40,55,895.25","3,10,554"
"14-May-2024","EQ","191.70","193.45","182.10","194.30","187.60","187.30","187.94","207.20","61.80","11,00,70,781","20,68,63,50,424.00","6,26,939"
"13-May-2024","EQ","205.80","207.20","186.75","201.30","196.65","194.30","196.83","207.20","61.80","11,41,35,952","22,46,53,25,302.00","3,97,413"
"10-May-2024","EQ","196.35","205.00","189.90","195.25","203.80","201.30","197.86","205.00","60.30","5,27,17,901","10,43,10,21,674.85","2,48,725"
"09-May-2024","EQ","195.00","199.70","193.10","195.45","195.75","195.25","196.45","202.00","60.30","4,72,74,769","9,28,69,79,382.05","1,94,195"
"08-May-2024","EQ","190.65","196.00","187.30","191.45","195.50","195.45","192.67","202.00","60.30","4,79,41,406","9,23,67,15,782.25","1,78,667"
